fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance_km,hour,day_of_week,month
63.9,2025-04-04 23:36:06,-73.80032699039575,40.57601875184764,-73.90262565948538,40.661933659951984,1,12.88,23,4,4
37.49,2024-10-20 15:19:10,-73.95635621790333,40.70561863430453,-74.0215718528758,40.711232660781214,4,5.53,15,6,10
74.45,2025-03-28 18:23:02,-73.71554109022533,40.6770123937999,-73.86370431260266,40.5773834698665,3,16.71,18,4,3
43.43,2025-03-04 13:08:31,-73.84113298547679,40.88813885975986,-73.9175814880619,40.91741478844461,2,7.2,13,1,3
51.8,2025-07-30 22:34:19,-73.81856744275068,40.90132341451351,-73.74732805941049,40.884749192222564,3,6.27,22,2,7
79.33,2025-03-11 17:39:16,-74.01229428279926,40.60966931431234,-73.92802498195032,40.762070144783294,1,18.38,17,1,3
58.01,2025-07-30 09:06:24,-73.85380512623675,40.71852189741341,-73.98581749762172,40.71642788681813,1,11.13,9,2,7
110.92,2025-05-12 16:16:58,-73.95167287290866,40.68657052598903,-73.73309075069112,40.93940080240191,1,33.6,16,0,5
54.05,2024-12-15 20:36:44,-73.80330405415927,40.64273714772779,-73.87692096473685,40.75158790620722,4,13.6,20,6,12
73.01,2025-04-12 05:59:26,-73.8436602353363,40.710163417510245,-73.88456559779385,40.56296979728809,1,16.73,5,5,4
84.5,2024-10-29 17:10:29,-73.73798329729217,40.748256877797594,-74.00249889363718,40.808590593604066,4,23.26,17,1,10
87.7,2025-03-14 16:03:09,-73.94677491519711,40.73945161288489,-73.74270545657697,40.93061123522867,3,27.32,16,4,3
83.83,2025-05-25 18:25:46,-73.83878491802484,40.901459613582745,-74.03298625677027,40.75894257733753,4,22.76,18,6,5
38.66,2025-08-06 14:22:14,-73.91333913728873,40.68412402873255,-73.9712615080981,40.67485341710095,2,4.99,14,2,8
77.63,2025-03-04 10:29:48,-73.87064743699919,40.94497891771964,-74.04060880388111,40.82953498745902,4,19.21,10,1,3
91.12,2024-11-09 05:25:47,-73.84004915298324,40.85448299150829,-73.75972574383503,40.68992338094472,4,19.51,5,5,11
80.84,2025-06-09 06:50:27,-73.98423082035762,40.777403273798114,-73.73771798976863,40.72190424212455,1,21.66,6,0,6
91.97,2024-10-01 09:45:59,-73.77856147867475,40.909062715431645,-73.90307111967954,40.69441420217742,2,26.07,9,1,10
68.74,2025-03-27 14:35:36,-73.7493670087012,40.68266248716303,-73.85169172017967,40.81606228748938,2,17.16,14,3,3
98.59,2025-04-30 04:36:07,-73.86037299258237,40.89586614131659,-74.04838147875417,40.66531170399504,3,30.13,4,2,4
97.05,2025-03-27 10:53:48,-73.73592629805786,40.57389516481323,-73.71624057835317,40.7565370288012,2,20.38,10,3,3
84.35,2024-10-01 22:39:54,-73.84522793696419,40.691831453917345,-73.7758817326855,40.8753004841214,1,21.22,22,1,10
63.71,2025-02-21 03:34:30,-73.79497607052747,40.61019034702575,-74.01543143447618,40.628832475506435,4,18.72,3,4,2
52.13,2025-02-14 03:00:05,-73.75660909981865,40.63778627175118,-73.87300245329929,40.58277566431649,3,11.57,3,4,2
92.05,2025-01-10 09:27:16,-73.74367318354281,40.86674928928522,-73.87992311595775,40.696135157847344,2,22.17,9,4,1
94.82,2025-05-10 03:47:02,-73.79126682626283,40.89370564354111,-73.82156095483738,40.66208590299235,2,25.88,3,5,5
55.54,2024-11-20 08:18:48,-73.96221153678349,40.847744829590155,-73.91464235393053,40.76636105460844,1,9.9,8,2,11
57.31,2024-09-20 18:46:26,-74.04393754799551,40.713247714438964,-73.96355338626245,40.81756679722057,1,13.43,18,4,9
149.48,2024-08-23 12:02:58,-74.03555781068422,40.58130140406684,-73.73400374200867,40.94068438432641,4,47.35,12,4,8
58.71,2025-07-20 13:55:30,-74.03693878723577,40.75120981749916,-73.89058623132902,40.705919783876595,3,13.32,13,6,7
95.98,2024-11-02 13:14:22,-73.98553362411778,40.75709891691166,-73.96477576465934,40.565669640172075,1,21.36,13,5,11
113.38,2024-10-04 04:21:02,-73.8643217122646,40.879042234284896,-73.88757727569217,40.61144600087002,1,29.82,4,4,10
61.67,2025-05-06 22:04:32,-73.78467784014018,40.5935186314985,-73.79610721363308,40.706354885761826,2,12.58,22,1,5
140.81,2025-06-14 01:14:06,-73.76607078315715,40.881821170968145,-73.81605751051916,40.55829761229165,2,36.22,1,5,6
32.6,2025-02-07 11:25:22,-73.84760758563341,40.70637786890189,-73.87970974930917,40.73058345641443,2,3.82,11,4,2
76.73,2025-05-18 10:12:54,-74.01162976676393,40.80164476380447,-74.01587898826946,40.673043931547696,4,14.3,10,6,5
120.27,2025-07-01 17:40:28,-73.74596258533909,40.56154730442088,-74.02064331803345,40.705732801412644,3,28.18,17,1,7
75.08,2024-08-25 15:53:10,-73.99067375805038,40.60310897790938,-73.77611084103064,40.64365975101747,2,18.66,15,6,8
63.05,2025-05-31 19:16:08,-73.70221873269065,40.91140228920386,-73.71031929162965,40.815958136730565,3,10.63,19,5,5
